session_file,timestamp,event,symbol,direction,qty,leverage,price,pnl_percent,order_id,fee_usd,raw
live_trading_session_20260320_171733.log,2026-03-20 17:19:15,ENTRY,DOT/USDT,,9.8555,2.0,,,,,"[2026-03-20 17:19:15] [TraderNexus] 🎯 EXECUTING ENTRY (Attempt 1/2): DOT/USDT (Qty: 9.8555, Lev: 2.0x)"
live_trading_session_20260320_171733.log,2026-03-20 17:19:20,STOP_PLACED,DOT/USDT,SELL,9.8,,1.499,,,,[2026-03-20 17:19:20] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 9.8 DOT/USDT @ 1.499
live_trading_session_20260320_182857.log,2026-03-20 18:29:13,STOP_PLACED,DOT/USDT,SELL,9.8,,1.492,,,,[2026-03-20 18:29:13] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 9.8 DOT/USDT @ 1.492
live_trading_session_20260320_182857.log,2026-03-20 18:30:34,STOP_PLACED,DOT/USDT,SELL,3.3,,1.492,,,,[2026-03-20 18:30:34] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 3.3 DOT/USDT @ 1.492
live_trading_session_20260320_182857.log,2026-03-20 18:58:08,ENTRY,WIF/USDT,,83.1025,1.0,,,,,"[2026-03-20 18:58:08] [TraderNexus] 🎯 EXECUTING ENTRY (Attempt 1/2): WIF/USDT (Qty: 83.1025, Lev: 1.0x)"
live_trading_session_20260320_182857.log,2026-03-20 18:58:11,STOP_PLACED,WIF/USDT,SELL,83.0,,0.1778,,,,[2026-03-20 18:58:11] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 83.0 WIF/USDT @ 0.1778
live_trading_session_20260320_182857.log,2026-03-20 19:29:33,EXIT,DOT/USDT,,,,,-0.66,,,[2026-03-20 19:29:33] [GovernorAgent] 📉 Trade Logged: DOT/USDT Profit: -0.66%. Consecutive Losses: 1/2
live_trading_session_20260320_182857.log,2026-03-20 19:35:09,ENTRY,DOT/USDT,,9.9404,2.0,,,,,"[2026-03-20 19:35:09] [TraderNexus] 🎯 EXECUTING ENTRY (Attempt 1/2): DOT/USDT (Qty: 9.9404, Lev: 2.0x)"
live_trading_session_20260320_182857.log,2026-03-20 19:35:12,STOP_PLACED,DOT/USDT,SELL,9.9,,1.488,,,,[2026-03-20 19:35:12] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 9.9 DOT/USDT @ 1.488
live_trading_session_20260320_182857.log,2026-03-20 19:35:14,EXIT,DOT/USDT,,,,,-0.07,,,[2026-03-20 19:35:14] [GovernorAgent] 📉 Trade Logged: DOT/USDT Profit: -0.07%. Consecutive Losses: 2/2
live_trading_session_20260320_182857.log,2026-03-20 20:01:30,ENTRY,AAVE/USDT,,0.1356,2.0,,,,,"[2026-03-20 20:01:30] [TraderNexus] 🎯 EXECUTING ENTRY (Attempt 1/2): AAVE/USDT (Qty: 0.1356, Lev: 2.0x)"
live_trading_session_20260320_182857.log,2026-03-20 20:01:34,STOP_PLACED,AAVE/USDT,SELL,0.13,,108.94,,,,[2026-03-20 20:01:34] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 0.13 AAVE/USDT @ 108.94
live_trading_session_20260320_211553.log,2026-03-20 21:17:03,STOP_PLACED,AAVE/USDT,SELL,0.13,,108.39,,,,[2026-03-20 21:17:03] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 0.13 AAVE/USDT @ 108.39
live_trading_session_20260320_211553.log,2026-03-20 21:19:43,EXIT,AAVE/USDT,,,,,-0.49,,,[2026-03-20 21:19:43] [GovernorAgent] 📉 Trade Logged: AAVE/USDT Profit: -0.49%. Consecutive Losses: 1/2
live_trading_session_20260320_211553.log,2026-03-20 21:20:48,STOP_PLACED,AAVE/USDT,SELL,0.03,,108.39,,,,[2026-03-20 21:20:48] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 0.03 AAVE/USDT @ 108.39
live_trading_session_20260320_211553.log,2026-03-20 21:21:41,ENTRY,DOT/USDT,,9.9734,2.0,,,,,"[2026-03-20 21:21:41] [TraderNexus] 🎯 EXECUTING ENTRY (Attempt 1/2): DOT/USDT (Qty: 9.9734, Lev: 2.0x)"
live_trading_session_20260320_211553.log,2026-03-20 21:21:43,STOP_PLACED,DOT/USDT,SELL,9.9,,1.481,,,,[2026-03-20 21:21:43] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 9.9 DOT/USDT @ 1.481
live_trading_session_20260320_211553.log,2026-03-20 22:17:32,EXIT,AAVE/USDT,,,,,-0.04,,,[2026-03-20 22:17:32] [GovernorAgent] 📉 Trade Logged: AAVE/USDT Profit: -0.04%. Consecutive Losses: 2/2
live_trading_session_20260320_231028.log,2026-03-20 23:10:44,STOP_PLACED,DOT/USDT,SELL,9.9,,1.474,,,,[2026-03-20 23:10:44] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 9.9 DOT/USDT @ 1.474
live_trading_session_20260320_231028.log,2026-03-20 23:12:08,STOP_PLACED,DOT/USDT,SELL,3.3,,1.474,,,,[2026-03-20 23:12:08] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 3.3 DOT/USDT @ 1.474
live_trading_session_20260320_231028.log,2026-03-20 23:19:39,ENTRY,WIF/USDT,,83.426,1.0,,,,,"[2026-03-20 23:19:39] [TraderNexus] 🎯 EXECUTING ENTRY (Attempt 1/2): WIF/USDT (Qty: 83.4260, Lev: 1.0x)"
live_trading_session_20260320_231028.log,2026-03-20 23:19:41,STOP_PLACED,WIF/USDT,SELL,83.0,,0.1766,,,,[2026-03-20 23:19:41] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 83.0 WIF/USDT @ 0.1766
live_trading_session_20260320_233554.log,2026-03-20 23:36:07,STOP_PLACED,DOT/USDT,SELL,3.3,,1.474,,,,[2026-03-20 23:36:07] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 3.3 DOT/USDT @ 1.474
live_trading_session_20260320_233554.log,2026-03-20 23:36:10,STOP_PLACED,WIF/USDT,SELL,83.0,,0.1757,,,,[2026-03-20 23:36:10] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 83.0 WIF/USDT @ 0.1757
live_trading_session_20260320_233554.log,2026-03-20 23:37:55,STOP_PLACED,DOT/USDT,SELL,2.3,,1.474,,,,[2026-03-20 23:37:55] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 2.3 DOT/USDT @ 1.474
live_trading_session_20260320_233554.log,2026-03-20 23:37:55,STOP_PLACED,WIF/USDT,SELL,28.0,,0.1757,,,,[2026-03-20 23:37:55] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 28.0 WIF/USDT @ 0.1757
live_trading_session_20260320_233554.log,2026-03-20 23:39:11,ENTRY,AAVE/USDT,,0.1343,2.0,,,,,"[2026-03-20 23:39:11] [TraderNexus] 🎯 EXECUTING ENTRY (Attempt 1/2): AAVE/USDT (Qty: 0.1343, Lev: 2.0x)"
live_trading_session_20260320_233554.log,2026-03-20 23:39:14,STOP_PLACED,AAVE/USDT,SELL,0.13,,109.75,,,,[2026-03-20 23:39:14] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 0.13 AAVE/USDT @ 109.75
live_trading_session_20260320_233554.log,2026-03-21 00:04:51,STOP_PLACED,WIF/USDT,SELL,23.0,,0.1757,,,,[2026-03-21 00:04:51] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 23.0 WIF/USDT @ 0.1757
live_trading_session_20260320_233554.log,2026-03-21 00:37:15,EXIT,WIF/USDT,,,,,-0.06,,,[2026-03-21 00:37:15] [GovernorAgent] 📉 Trade Logged: WIF/USDT Profit: -0.06%. Consecutive Losses: 1/2
live_trading_session_20260321_012601.log,2026-03-21 01:26:13,STOP_PLACED,AAVE/USDT,SELL,0.13,,109.19,,,,[2026-03-21 01:26:13] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 0.13 AAVE/USDT @ 109.19
live_trading_session_20260321_012601.log,2026-03-21 01:27:13,EXIT,AAVE/USDT,,,,,-0.22,,,[2026-03-21 01:27:13] [GovernorAgent] 📉 Trade Logged: AAVE/USDT Profit: -0.22%. Consecutive Losses: 1/2
live_trading_session_20260321_012601.log,2026-03-21 01:27:26,STOP_PLACED,AAVE/USDT,SELL,0.03,,109.19,,,,[2026-03-21 01:27:26] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 0.03 AAVE/USDT @ 109.19
live_trading_session_20260321_012601.log,2026-03-21 01:27:41,ENTRY,DOT/USDT,,9.9536,2.0,,,,,"[2026-03-21 01:27:41] [TraderNexus] 🎯 EXECUTING ENTRY (Attempt 1/2): DOT/USDT (Qty: 9.9536, Lev: 2.0x)"
live_trading_session_20260321_012601.log,2026-03-21 01:27:43,STOP_PLACED,DOT/USDT,SELL,9.9,,1.483,,,,[2026-03-21 01:27:43] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 9.9 DOT/USDT @ 1.483
live_trading_session_20260321_015823.log,2026-03-21 01:58:38,STOP_PLACED,DOT/USDT,SELL,9.9,,1.476,,,,[2026-03-21 01:58:38] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 9.9 DOT/USDT @ 1.476
live_trading_session_20260321_015823.log,2026-03-21 01:58:40,STOP_PLACED,AAVE/USDT,SELL,0.03,,109.19,,,,[2026-03-21 01:58:40] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 0.03 AAVE/USDT @ 109.19
live_trading_session_20260321_015823.log,2026-03-21 01:59:39,EXIT,DOT/USDT,,,,,-0.46,,,[2026-03-21 01:59:39] [GovernorAgent] 📉 Trade Logged: DOT/USDT Profit: -0.46%. Consecutive Losses: 1/2
live_trading_session_20260321_015823.log,2026-03-21 01:59:52,STOP_PLACED,DOT/USDT,SELL,3.3,,1.476,,,,[2026-03-21 01:59:52] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 3.3 DOT/USDT @ 1.476
live_trading_session_20260321_015823.log,2026-03-21 02:18:09,ENTRY,TAO/USDT,,0.055,1.0,,,,,"[2026-03-21 02:18:09] [TraderNexus] 🎯 EXECUTING ENTRY (Attempt 1/2): TAO/USDT (Qty: 0.0550, Lev: 1.0x)"
live_trading_session_20260321_015823.log,2026-03-21 02:18:11,STOP_PLACED,TAO/USDT,SELL,0.05,,268.43,,,,[2026-03-21 02:18:11] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 0.05 TAO/USDT @ 268.43
live_trading_session_20260321_022540.log,2026-03-21 02:25:54,STOP_PLACED,DOT/USDT,SELL,3.3,,1.476,,,,[2026-03-21 02:25:54] [ActuatorAgent] 🛡️ PLACING STOP LOSS: SELL 3.3 DOT/USDT @ 1.476
